Set,color,num_critic_for_reviews,duration,gross,movie_title,num_voted_users,facenumber_in_poster,num_user_for_reviews,language,content_rating,budget,title_year,imdb_score,aspect_ratio,num_Key_words,movies_made,main_genre,num_genre,num_top_actors,num_pop_actors
train,1,723,178,760505847,AvatarÂ ,886204,0,3054,English,PG13,237000000,2009,7.9,1.78,0,6,Action,4,0,0
train,1,302,169,309404152,Pirates of the Caribbean: At World's EndÂ ,471220,0,1238,English,PG13,300000000,2007,7.1,2.35,1,7,Action,3,1,1
train,1,813,164,448130642,The Dark Knight RisesÂ ,1144337,0,2701,English,PG13,250000000,2012,8.5,2.35,1,8,Action,2,2,3
train,1,392,156,336530303,Spider-Man 3Â ,383056,0,1902,English,PG13,258000000,2007,6.2,2.35,1,9,Action,3,3,1
train,1,324,100,200807262,TangledÂ ,294810,1,387,English,PG,260000000,2010,7.8,1.85,1,1,Adventure,7,0,0
train,1,673,183,330249062,Batman v Superman: Dawn of JusticeÂ ,371639,0,3018,English,PG13,250000000,2016,6.9,2.35,2,7,Action,3,0,0
train,1,434,169,200069408,Superman ReturnsÂ ,240396,0,2367,English,PG13,209000000,2006,6.1,2.35,0,7,Action,3,1,0
train,1,313,151,423032628,Pirates of the Caribbean: Dead Man's ChestÂ ,522040,2,1832,English,PG13,225000000,2006,7.3,2.35,3,7,Action,3,1,1
train,1,450,150,89289910,The Lone RangerÂ ,181792,1,711,English,PG13,215000000,2013,6.5,2.35,2,7,Action,3,2,1
train,1,733,143,291021565,Man of SteelÂ ,548573,0,2536,English,PG13,225000000,2013,7.2,2.35,7,7,Action,4,0,0
train,1,258,150,141614023,The Chronicles of Narnia: Prince CaspianÂ ,149922,4,438,English,PG,225000000,2008,6.6,2.35,2,4,Action,4,1,1
train,1,703,173,623279547,The AvengersÂ ,995415,3,1722,English,PG13,220000000,2012,8.1,1.85,3,3,Action,3,3,3
train,1,448,136,241063875,Pirates of the Caribbean: On Stranger TidesÂ ,370704,4,484,English,PG13,250000000,2011,6.7,2.35,1,5,Action,3,1,1
train,1,451,106,179020854,Men in Black 3Â ,268154,1,341,English,PG13,225000000,2012,6.8,1.85,2,7,Action,6,1,0
train,1,599,153,262030663,The Amazing Spider-ManÂ ,451803,0,1225,English,PG13,230000000,2012,7,2.35,2,3,Action,3,1,0
train,1,343,156,105219735,Robin HoodÂ ,211765,0,546,English,PG13,200000000,2010,6.7,2.35,0,14,Action,4,1,0
train,1,509,186,258355354,The Hobbit: The Desolation of SmaugÂ ,483540,6,951,English,PG13,225000000,2013,7.9,2.35,0,5,Adventure,2,0,0
train,1,251,113,70083519,The Golden CompassÂ ,149019,2,666,English,PG13,180000000,2007,6.1,2.35,2,4,Adventure,3,1,0
train,1,315,194,658672302,TitanicÂ ,793059,0,2528,English,PG13,200000000,1997,7.7,2.35,1,6,Drama,2,2,1
train,1,516,147,407197282,Captain America: Civil WarÂ ,272670,0,1022,English,PG13,250000000,2016,8.2,2.35,3,4,Action,3,2,2
train,1,377,131,65173160,BattleshipÂ ,202382,0,751,English,PG13,209000000,2012,5.9,2.35,3,6,Action,4,1,0
train,1,644,124,652177271,Jurassic WorldÂ ,418214,0,1290,English,PG13,150000000,2015,7,2,1,2,Action,4,1,0
train,1,300,135,373377893,Spider-Man 2Â ,411164,1,1303,English,PG13,200000000,2004,7.3,2.35,2,9,Action,4,3,1
train,1,608,195,408992272,Iron Man 3Â ,557489,3,1187,English,PG13,200000000,2013,7.2,2.35,0,2,Action,3,3,1
train,1,451,108,334185206,Alice in WonderlandÂ ,306320,0,736,English,PG,200000000,2010,6.5,1.85,1,14,Adventure,3,2,2
train,1,376,104,268488329,Monsters UniversityÂ ,235025,0,265,English,G,200000000,2013,7.3,1.85,1,1,Adventure,5,1,0
train,1,366,150,402076689,Transformers: Revenge of the FallenÂ ,323207,0,1439,English,PG13,200000000,2009,6,2.35,0,12,Action,3,0,0
train,1,378,165,245428137,Transformers: Age of ExtinctionÂ ,242420,2,918,English,PG13,210000000,2014,5.7,2.35,2,12,Action,3,0,0
train,1,525,130,234903076,Oz the Great and PowerfulÂ ,175409,4,511,English,PG,215000000,2013,6.4,2.35,0,9,Adventure,3,1,1
train,1,495,142,202853933,The Amazing Spider-Man 2Â ,321227,0,1067,English,PG13,200000000,2014,6.7,2.35,4,3,Action,4,1,0
train,1,469,125,172051787,TRON: LegacyÂ ,264183,0,665,English,PG,170000000,2010,6.8,2.35,1,2,Action,3,2,0
train,1,453,103,414984497,Toy Story 3Â ,544884,3,733,English,G,200000000,2010,8.3,1.85,2,1,Adventure,5,1,0
train,1,424,140,350034110,Furious 7Â ,278232,0,657,English,PG13,190000000,2015,7.2,2.35,4,7,Action,3,3,2
train,1,654,123,202351611,World War ZÂ ,465019,0,995,English,PG13,190000000,2013,7,2.35,0,7,Action,5,1,0
train,1,539,149,233914986,X-Men: Days of Future PastÂ ,514125,7,752,English,PG13,200000000,2014,8,2.35,2,7,Action,5,3,3
train,1,590,132,228756232,Star Trek Into DarknessÂ ,395573,0,1171,English,PG13,190000000,2013,7.8,2.35,0,4,Action,3,1,1
train,1,338,114,65171860,Jack the Giant SlayerÂ ,106416,1,205,English,PG13,195000000,2013,6.3,2.35,0,7,Adventure,2,0,0
train,1,306,116,90755643,Prince of Persia: The Sands of TimeÂ ,222403,2,453,English,PG13,200000000,2010,6.6,2.35,0,5,Action,4,1,0
train,1,575,131,101785482,Pacific RimÂ ,381148,0,1106,English,PG13,190000000,2013,7,1.85,0,4,Action,3,1,0
train,1,428,154,352358779,Transformers: Dark of the MoonÂ ,326180,2,899,English,PG13,195000000,2011,6.3,2.35,0,12,Action,3,0,0
train,1,470,122,317011114,Indiana Jones and the Kingdom of the Crystal SkullÂ ,333847,2,2054,English,PG13,185000000,2008,6.2,2.35,2,24,Action,3,1,0
train,1,298,93,123070338,The Good DinosaurÂ ,62836,0,345,English,PG,59724238.490639314,2015,6.8,2.35,0,1,Adventure,5,0,0
train,1,488,93,237282182,BraveÂ ,273556,0,428,English,PG,185000000,2012,7.2,2.35,1,1,Adventure,5,0,0
train,1,421,98,223806889,WALLÂ·EÂ ,718837,0,1043,English,G,180000000,2008,8.4,2.35,0,3,Adventure,4,1,0
train,1,162,91,140080850,Rush Hour 3Â ,121084,2,221,English,PG13,140000000,2007,6.2,2.35,0,7,Action,4,0,0
train,1,367,158,166112167,2012Â ,283418,0,1055,English,PG13,200000000,2009,5.8,2.35,2,7,Action,3,1,0
train,1,240,96,137850096,A Christmas CarolÂ ,72809,0,249,English,PG,200000000,2009,6.8,2.35,1,13,Animation,4,2,0
train,1,384,127,47375327,Jupiter AscendingÂ ,139593,1,720,English,PG13,176000000,2015,5.4,2.35,4,5,Action,3,1,0
train,1,248,110,124051759,The Legend of TarzanÂ ,42372,2,239,English,PG13,180000000,2016,6.6,2.35,1,1,Action,4,0,0
train,1,284,150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the WardrobeÂ ",286506,5,1463,English,PG,180000000,2005,6.9,2.35,0,4,Adventure,3,0,0
train,1,486,126,318298180,Iron ManÂ ,696338,3,1055,English,PG13,140000000,2008,7.9,2.35,0,5,Action,3,3,1
train,1,682,126,73820094,HugoÂ ,245333,0,678,English,PG,170000000,2011,7.5,1.85,1,20,Adventure,4,2,0
train,1,85,106,113745408,Wild Wild WestÂ ,129601,2,648,English,PG13,170000000,1999,4.8,1.85,1,7,Action,4,2,0
train,1,264,112,102176165,The Mummy: Tomb of the Dragon EmperorÂ ,117927,2,501,English,PG13,145000000,2008,5.2,2.35,0,9,Action,5,1,0
train,1,418,123,161087183,Suicide SquadÂ ,118992,8,971,English,PG13,175000000,2016,6.9,2.35,5,6,Action,4,1,0
train,1,186,96,100289690,Evan AlmightyÂ ,115099,0,257,English,PG,175000000,2007,5.4,2.35,0,7,Comedy,3,2,1
train,1,585,113,100189501,Edge of TomorrowÂ ,431620,1,741,English,PG13,178000000,2014,7.9,2.35,2,7,Action,3,1,0
train,1,91,176,88246220,WaterworldÂ ,144337,0,309,English,PG13,175000000,1995,6.1,1.85,0,4,Action,4,0,0
train,1,250,118,150167630,G.I. Joe: The Rise of CobraÂ ,174578,4,534,English,PG13,175000000,2009,5.8,2.35,1,4,Action,4,2,1
train,1,453,124,312057433,Iron Man 2Â ,522371,4,723,English,PG13,200000000,2010,7,2.35,1,5,Action,3,3,2
train,1,416,132,155111815,Snow White and the HuntsmanÂ ,228554,0,710,English,PG13,170000000,2012,6.1,2.35,0,1,Action,4,2,1
train,1,401,97,241407328,MaleficentÂ ,252257,2,634,English,PG,180000000,2014,7,2.35,0,1,Action,5,1,0
train,1,521,130,208543795,Dawn of the Planet of the ApesÂ ,317542,0,620,English,PG13,170000000,2014,7.6,1.85,0,3,Action,4,2,0
train,1,218,128,38297305,47 RoninÂ ,116994,2,324,English,PG13,175000000,2013,6.3,2.35,3,1,Action,4,1,0
train,1,576,136,259746958,Captain America: The Winter SoldierÂ ,496749,1,742,English,PG13,170000000,2014,7.8,2.35,0,4,Action,3,1,1
train,1,226,93,238371987,Shrek Forever AfterÂ ,138661,2,173,English,PG,165000000,2010,6.4,2.35,2,4,Adventure,5,0,0
train,1,443,130,93417865,TomorrowlandÂ ,128306,2,497,English,PG,190000000,2015,6.5,2.2,5,5,Action,5,1,0
train,1,384,102,222487711,Big Hero 6Â ,279093,0,433,English,PG,165000000,2014,7.9,2.39,2,1,Action,7,0,0
train,1,188,100,665426,The Polar ExpressÂ ,120798,0,444,English,G,165000000,2004,6.6,2.35,3,13,Adventure,4,1,0
train,1,286,120,102315545,Independence Day: ResurgenceÂ ,58137,0,520,English,PG13,165000000,2016,5.5,2.35,2,7,Action,3,1,0
train,1,653,121,333130696,Guardians of the GalaxyÂ ,682155,3,1097,English,PG13,170000000,2014,8.1,2.35,0,2,Action,3,3,0
train,1,712,169,187991439,InterstellarÂ ,928227,1,2725,English,PG13,165000000,2014,8.6,2.35,4,8,Adventure,3,2,0
train,1,642,148,292568851,InceptionÂ ,1468200,0,2803,English,PG13,160000000,2010,8.8,2.35,1,8,Action,4,2,3
train,1,645,182,303001229,The Hobbit: An Unexpected JourneyÂ ,637246,1.4083723653395785,1367,English,PG13,180000000,2012,7.9,2.35,0,5,Adventure,2,0,0
train,1,187,106,144512310,The Fast and the FuriousÂ ,272223,2,988,English,PG13,38000000,2001,6.7,2.35,0,9,Action,3,2,1
train,1,362,166,127490802,The Curious Case of Benjamin ButtonÂ ,459346,2,822,English,PG13,150000000,2008,7.8,2.35,3,10,Drama,3,1,0
train,1,500,132,146405371,X-Men: First ClassÂ ,518537,3,698,English,PG13,160000000,2011,7.8,2.35,3,1,Action,3,2,1
train,1,389,137,281666058,The Hunger Games: Mockingjay - Part 2Â ,166137,1,383,English,PG13,160000000,2015,6.6,2.35,1,5,Adventure,2,3,2
train,1,235,109,63143812,The Sorcerer's ApprenticeÂ ,124185,0,238,English,PG,150000000,2010,6.1,2.35,2,7,Action,4,1,0
train,1,231,98,60655503,PoseidonÂ ,82380,0,629,English,PG13,160000000,2006,5.6,2.35,1,5,Action,4,0,1
train,1,218,113,76846624,Alice Through the Looking GlassÂ ,21352,1,131,English,PG,170000000,2016,6.4,1.85,0,3,Adventure,3,2,2
train,1,227,93,320706665,Shrek the ThirdÂ ,211971,2,326,English,PG,160000000,2007,6.1,1.85,0,2,Adventure,5,0,0
train,1,275,123,46978995,WarcraftÂ ,111609,0,781,English,PG13,160000000,2016,7.3,2.35,2,2,Action,3,0,0
train,1,474,126,89732035,Terminator GenisysÂ ,188457,2,867,English,PG13,155000000,2015,6.6,2.35,1,2,Action,3,1,1
train,1,228,113,104383624,The Chronicles of Narnia: The Voyage of the Dawn TreaderÂ ,106446,4,227,English,PG,155000000,2010,6.3,1.78,0,5,Adventure,3,0,0
train,0,191,184,198539855,Pearl HarborÂ ,254111,0,1999,English,PG13,140000000,2001,6.1,2.35,1,12,Action,5,1,0
train,1,396,144,318759914,TransformersÂ ,513158,0,1782,English,PG13,150000000,2007,7.1,2.35,2,12,Action,3,0,0
train,1,318,102,227946274,HancockÂ ,343648,0,590,English,PG13,150000000,2008,6.4,2.35,2,6,Action,2,2,0
train,1,323,104,256386216,I Am LegendÂ ,530870,0,1413,English,PG13,150000000,2007,7.2,2.35,3,5,Drama,3,1,0
train,1,276,115,206456431,Charlie and the Chocolate FactoryÂ ,320284,3,1361,English,PG,150000000,2005,6.7,1.85,0,14,Adventure,4,2,1
train,1,318,111,206435493,RatatouilleÂ ,473887,0,626,English,G,150000000,2007,8,2.35,0,5,Animation,4,0,0
train,1,478,128,205343774,Batman BeginsÂ ,980946,0,2685,English,PG13,150000000,2005,8.3,2.35,1,8,Action,2,3,1
train,1,167,89,179982968,Madagascar: Escape 2 AfricaÂ ,146019,0,119,English,PG,150000000,2008,6.7,1.85,3,5,Action,5,2,0
train,1,185,105,177243721,Night at the Museum: Battle of the SmithsonianÂ ,130272,2,209,English,PG,150000000,2009,5.9,2.35,0,11,Adventure,4,2,1
train,1,350,119,179883016,X-Men Origins: WolverineÂ ,361924,0,641,English,PG13,150000000,2009,6.7,2.35,3,3,Action,5,2,1
